City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Gamba,GA,-2.65,10.0,74.28,90,92,3.78,overcast clouds
180,Fastiv,UA,50.08,29.92,24.71,97,99,6.4,light snow
181,Vao,NC,-22.67,167.48,77.65,72,88,10.6,overcast clouds
182,Castro,BR,-24.79,-50.01,64.53,92,5,4.07,clear sky
183,Les Escoumins,CA,48.11,-69.02,13.35,99,91,4.63,overcast clouds
184,Ahipara,NZ,-35.17,173.17,76.14,70,8,9.15,clear sky
185,Metro,ID,-5.11,105.31,82.9,70,99,9.46,overcast clouds
186,Tiznit,MA,29.58,-9.5,49.46,91,35,2.64,scattered clouds
187,Wukari,NG,7.85,9.78,74.07,19,52,11.07,broken clouds
188,Boa Vista,BR,2.82,-60.67,84.18,61,40,12.66,scattered clouds
189,Puerto Ayora,EC,-0.74,-90.35,73.56,89,52,5.82,broken clouds
190,Tala,EG,30.68,30.94,47.64,62,98,7.81,overcast clouds
191,Tessalit,ML,20.2,1.01,60.73,18,100,12.57,overcast clouds
192,Sulangan,PH,11.14,123.72,81.05,81,47,10.09,scattered clouds
193,Oistins,BB,13.07,-59.53,73.49,88,40,6.91,scattered clouds
194,Hilo,US,19.73,-155.09,76.24,77,10,1.99,clear sky
195,Port Blair,IN,11.67,92.75,82.44,65,20,10.36,few clouds
196,Mokhsogollokh,RU,61.47,128.92,-8.32,94,100,8.08,light snow
197,Biak,ID,-0.91,122.88,83.34,73,88,4.72,overcast clouds
198,Coihaique,CL,-45.58,-72.07,57.15,62,0,0.0,clear sky
199,Fort Nelson,CA,58.81,-122.7,40.59,65,75,19.57,broken clouds
200,Cap Malheureux,MU,-19.98,57.61,75.69,70,1,1.99,clear sky
201,Guarapari,BR,-20.67,-40.5,75.09,91,1,8.23,clear sky
202,Harper,LR,4.38,-7.72,77.49,85,1,3.91,clear sky
203,Dengzhou,CN,37.81,120.75,34.72,60,66,10.87,broken clouds
204,Dekar,BW,-21.53,21.93,70.81,50,100,6.73,overcast clouds
205,Avera,US,33.19,-82.53,51.67,76,93,6.13,overcast clouds
206,Westport,US,41.14,-73.36,33.78,56,0,1.99,clear sky
207,Hualmay,PE,-11.1,-77.61,70.65,85,17,7.18,few clouds
208,Kalmunai,LK,7.42,81.82,76.82,72,71,3.42,broken clouds
209,Caravelas,BR,-17.71,-39.25,75.0,90,100,8.81,light rain
210,Pandan,PH,14.05,124.17,79.43,89,78,10.4,broken clouds
211,Sao Joao Da Barra,BR,-21.64,-41.05,75.38,89,1,13.09,clear sky
212,Lovozero,RU,68.0,35.01,13.33,84,20,10.0,few clouds
213,Windsor,CA,42.3,-83.02,20.97,78,100,1.01,overcast clouds
214,Bosansko Grahovo,BA,44.18,16.36,20.16,88,7,6.4,clear sky
215,Iqaluit,CA,63.75,-68.51,-24.07,69,75,0.0,broken clouds
216,Faya,SA,18.39,42.45,50.11,84,16,1.63,few clouds
217,Kralendijk,BQ,12.15,-68.27,78.78,78,20,12.66,few clouds
218,Torbay,CA,47.67,-52.73,27.57,89,75,4.61,broken clouds
219,Trincomalee,LK,8.57,81.23,76.06,76,100,4.45,overcast clouds
220,Kamenka,RU,51.32,42.77,3.45,99,94,5.28,overcast clouds
221,Thurso,GB,58.59,-3.53,44.55,78,75,26.4,broken clouds
222,Kirakira,SB,-10.45,161.92,85.96,72,73,11.72,moderate rain
223,Kpandae,GH,8.47,-0.01,72.93,15,0,7.99,clear sky
224,Fortuna,US,40.6,-124.16,44.92,91,5,2.48,clear sky
225,Hambantota,LK,6.12,81.12,71.94,100,20,4.61,few clouds
226,Lagdo,CM,9.05,13.73,66.27,22,76,1.99,broken clouds
227,Alice Springs,AU,-23.7,133.88,96.22,43,40,1.01,scattered clouds
228,Muscat,OM,23.61,58.59,60.82,63,0,4.76,clear sky
229,Kodinsk,RU,58.69,99.18,-9.44,100,90,1.9,overcast clouds
230,Luderitz,NA,-26.65,15.16,72.59,63,6,20.13,clear sky
231,Pierre,US,44.37,-100.35,9.28,53,0,5.01,clear sky
